id,fragility_model_id,reviewer,source,basis,num_observations,reference_id,edp_metric,edp_unit,ds_rank,ds_description,median,beta,probability
fra1001-1,fra1001,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.006,0.204,
fra1002-1,fra1002,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.01,0.216,
fra1003-1,fra1003,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.014,0.094,
fra1004-1,fra1004,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.031,0.146,
fra1005-1,fra1005,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.04,0.206,
fra1006-1,fra1006,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.088,0.112,
fra1007-1,fra1007,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.148,0.031,
fra1008-1,fra1008,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.153,0.099,
fra1009-1,fra1009,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.021,0.049,
fra1010-1,fra1010,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.077,0.17,
fra1011-1,fra1011,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.079,0.105,
fra1012-1,fra1012,NIST,Literature,Experimental,,TIA-2012-EXP,Joint Rotation,Radians,1,First leakage,0.059,0.102,
fra1013-1,fra1013,NIST,Literature,Experimental,,TAO-2019-EXP,Joint Rotation,Radians,1,"Massive Leakage, pressure drops to 0 psi",0.0891,0.2907,
fra1013-2,fra1013,NIST,Literature,Experimental,,TAO-2019-EXP,Joint Rotation,Radians,2,"Complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.1195,0.2686,
fra1014-1,fra1014,NIST,Literature,Experimental,,TAO-2019-EXP,Joint Rotation,Radians,1,"Massive Leakage, pressure drops to 0 psi",0.2174,0.2591,
fra1014-2,fra1014,NIST,Literature,Experimental,,TAO-2019-EXP,Joint Rotation,Radians,2,"Complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.2987,0.2543,
fra1015-1,fra1015,NIST,Literature,Experimental,,TAO-2019-EXP,Joint Rotation,Radians,1,"Massive Leakage, pressure drops to 0 psi",0.0642,0.3129,
fra1015-2,fra1015,NIST,Literature,Experimental,,TAO-2019-EXP,Joint Rotation,Radians,2,"Complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.0964,0.3979,
fra1028-1,fra1028,NIST,Literature,Experimental,,GOO-2004-EXP,"Force, tension",Kips,1,failed at the clamped portion of the cable,1.471,0.154,
fra1029-1,fra1029,NIST,Literature,Experimental,,GOO-2004-EXP,"Force, tension",Kips,1,Load drops to zero,19.16,0.022,
fra1030-1,fra1030,NIST,Literature,Experimental,,SOR-2013-ANA,"Force, tension",Kips,1,Load drops to zero,0.596,0.063,
B2011.001a-1,B2011.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Sheathing faster pull through or tear out.  (20% of fasteners.),0.004,0.4,1.0
B2011.001a-2,B2011.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Failure of structural panels.  ,0.0226,0.3,1.0
B2011.001a-3,B2011.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Failure of wall.,0.0267,0.25,1.0
B2011.001b-1,B2011.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Sheathing faster pull through or tear out.  (20% of fasteners.),0.004,0.4,1.0
B2011.001b-2,B2011.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Failure of structural panels.  ,0.0226,0.3,1.0
B2011.001b-3,B2011.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Failure of wall.,0.0267,0.25,1.0
B2011.011a-1,B2011.011a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Local buckling of chord studs.,0.0139,0.25,1.0
B2011.011a-2,B2011.011a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Failure of many framing members and collapse.,0.0179,0.25,1.0
B2011.011b-1,B2011.011b,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Local buckling of chord studs.,0.0139,0.25,1.0
B2011.011b-2,B2011.011b,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Failure of many framing members and collapse.,0.0179,0.25,1.0
B2011.021a-1,B2011.021a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Pull out of sheathing fasteners from studs.,0.019,0.25,1.0
B2011.021a-2,B2011.021a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Buckling of steel sheathing.  Buckling of framing members.,0.0253,0.25,1.0
B2011.021b-1,B2011.021b,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Pull out of sheathing fasteners from studs.,0.019,0.25,1.0
B2011.021b-2,B2011.021b,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Buckling of steel sheathing.  Buckling of framing members.,0.0253,0.25,1.0
B2011.101-1,B2011.101,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Slight separation of sheathing or nails which come loose.,0.01,0.4,1.0
B2011.101-2,B2011.101,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,"Permanent rotation of sheathing, tear out of nails or sheathing.",0.0175,0.4,1.0
B2011.101-3,B2011.101,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,"Fracture of studs, major sill plate cracking.",0.025,0.4,1.0
B2011.102-1,B2011.102,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Cracking of stucco.,0.0025,0.44,1.0
B2011.102-2,B2011.102,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,"Spalling of stucco, separation of stucco and sheathing from studs. ",0.0052,0.3,1.0
B2011.102-3,B2011.102,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,"Fracture of studs, major sill plate cracking.",0.0252,0.16,1.0
B2011.111-1,B2011.111,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Cracking of stucco.,0.0017,0.5,1.0
B2011.111-2,B2011.111,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,"Spalling of stucco, separation of stucco and sheathing from studs. ",0.0035,0.4,1.0
B2011.111-3,B2011.111,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,"Fracture of studs, major sill plate cracking.",0.017,0.4,1.0
B2011.121-1,B2011.121,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Slight separation of sheathing or nails which come loose.,0.015,0.4,1.0
B2011.121-2,B2011.121,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,"Permanent rotation of sheathing, tear out of nails or sheathing.",0.0262,0.19,1.0
B2011.121-3,B2011.121,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,"Fracture of studs, major sill plate cracking.",0.0369,0.2,1.0
B2011.131-1,B2011.131,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Failure of diagonal bracing.,0.01,0.4,1.0
