id,group_id,reviewer,source,basis,num_observations,reference_id,p58_fragility,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,edp_metric,edp_unit,ds_rank,ds_description,median,beta,probability
fra1001-1,fra1001,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 6 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.006,0.204,
fra1002-1,fra1002,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 4 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.01,0.216,
fra1003-1,fra1003,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 2 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.014,0.094,
fra1004-1,fra1004,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 1 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.031,0.146,
fra1005-1,fra1005,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 3/4 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.04,0.206,
fra1006-1,fra1006,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- CPVC with Cement Joint - Pipe size 2 inches, , 40 psi",Joint Rotation,Radians,1,First leakage,0.088,0.112,
fra1007-1,fra1007,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- CPVC with Cement Joint - Pipe size 1 inches, , 40 psi",Joint Rotation,Radians,1,First leakage,0.148,0.031,
fra1008-1,fra1008,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- CPVC with Cement Joint - Pipe size 3/4 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.153,0.099,
fra1009-1,fra1009,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Schedule 40 Steel with Groove Fit Connections - Pipe size 4 inches,40 psi",Joint Rotation,Radians,1,First leakage,0.021,0.049,
fra1010-1,fra1010,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Schedule 40 Steel with Groove Fit Connections - Pipe size 2 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.077,0.17,
fra1011-1,fra1011,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Schedule 10 Steel with Groove Fit Connections - Pipe size 4 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.079,0.105,
fra1012-1,fra1012,NIST,Literature,Experimental,,TIA-2012-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level- Tee joint- Schedule 10 Steel with Groove Fit Connections - Pipe size 2 inches, 40 psi",Joint Rotation,Radians,1,First leakage,0.059,0.102,
fra1013-1,fra1013,NIST,Literature,Experimental,,TAO-2019-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",Joint Rotation,Radians,1,"Massive Leakage, pressure drops to 0 psi",0.0891,0.2907,
fra1013-2,fra1013,NIST,Literature,Experimental,,TAO-2019-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",Joint Rotation,Radians,2,"Complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.1195,0.2686,
fra1014-1,fra1014,NIST,Literature,Experimental,,TAO-2019-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",Joint Rotation,Radians,1,"Massive Leakage, pressure drops to 0 psi",0.2174,0.2591,
fra1014-2,fra1014,NIST,Literature,Experimental,,TAO-2019-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",Joint Rotation,Radians,2,"Complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.2987,0.2543,
fra1015-1,fra1015,NIST,Literature,Experimental,,TAO-2019-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level - 90◦ elbow joint connected with two 6"" (DN150) galvanized steel pipe  Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",Joint Rotation,Radians,1,"Massive Leakage, pressure drops to 0 psi",0.0642,0.3129,
fra1015-2,fra1015,NIST,Literature,Experimental,,TAO-2019-EXP,'',D4011,Fire Sprinkler,'','','','',"Component level - 90◦ elbow joint connected with two 6"" (DN150) galvanized steel pipe  Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",Joint Rotation,Radians,2,"Complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.0964,0.3979,
fra1016-1,fra1016,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Story Drift Ratio,Ratio,1,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.37,0.51,
fra1016-2,fra1016,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Story Drift Ratio,Ratio,2,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.05,0.29,
fra1016-3,fra1016,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Story Drift Ratio,Ratio,3,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.49,0.29,
fra1017-1,fra1017,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Story Drift Ratio,Ratio,1,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",1.27,0.28,
fra1017-2,fra1017,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Story Drift Ratio,Ratio,2,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.52,0.25,
