id,reference_id,specimen,specimen_inspection_sequence,reviewer,component_id,comp_detail,material,size_class,test_type,loading_protocol,peak_test_amplitude,location,governing_design_standard,design_objective,comp_description,ds_description,prior_damage,prior_damage_repaired,edp_metric,edp_unit,edp_value,alt_edp_metric,alt_edp_unit,alt_edp_value,ds_rank,ds_class,notes
exp1001a,LEE-2007-SEI,Specimen No.1,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Crushing of gypsum board at a corner.,'',,Story Drift Ratio,Ratio,0.015,'','',,,Inconsequential,''
exp1002a,LEE-2007-SEI,Specimen No.1,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Joint cracks at vertical intersection of gypsum boards,Crushing of gypsum board at a corner.,No,Story Drift Ratio,Ratio,0.02,'','',,,Inconsequential,''
exp1003a,LEE-2007-SEI,Specimen No.1,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Out of plane deformation of gypsum boards at upper corners,Joint cracks at vertical intersection of gypsum boards,No,Story Drift Ratio,Ratio,0.04,'','',,,Consequential,''
exp1004a,LEE-2007-SEI,Specimen No.1,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Cracks in gypsum board,Out of plane deformation of gypsum boards at upper corners,No,Story Drift Ratio,Ratio,0.1,'','',,,Consequential,''
exp1005a,LEE-2007-SEI,Specimen No.2,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Small diagonal gypsum cracks in corners above door,'',,Story Drift Ratio,Ratio,0.005,'','',,,Inconsequential,''
exp1006a,LEE-2007-SEI,Specimen No.2,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Crushing of gypsum board at a corner.,Small diagonal gypsum cracks in corners above door,No,Story Drift Ratio,Ratio,0.01,'','',,,Consequential,''
exp1007a,LEE-2007-SEI,Specimen No.2,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Large vertical cracks in gypsum board above door,Crushing of gypsum board at a corner.,No,Story Drift Ratio,Ratio,0.01,'','',,,Consequential,''
exp1008a,LEE-2007-SEI,Specimen No.2,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Temoorary dorr jammed and recovered after reaching original position,Large vertical cracks in gypsum board above door,No,Story Drift Ratio,Ratio,0.01,'','',,,Inconsequential,''
exp1009a,LEE-2007-SEI,Specimen No.2,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",broken door lock and permanent jammed door,Temoorary dorr jammed and recovered after reaching original position,No,Story Drift Ratio,Ratio,0.02,'','',,,Consequential,''
exp1010a,LEE-2007-SEI,Specimen No.2,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Out of plane deformation of gypsum board at lower interior corner next to door,broken door lock and permanent jammed door,No,Story Drift Ratio,Ratio,0.04,'','',,,Consequential,''
exp1011a,LEE-2007-SEI,Specimen No.2,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Gap around door frame,Out of plane deformation of gypsum board at lower interior corner next to door,No,Story Drift Ratio,Ratio,0.06,'','',,,Consequential,''
exp1012a,LEE-2007-SEI,Specimen No. 3,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen",Out of plane deformation of gypsum boards of orthogonal wall at corners,'',,Story Drift Ratio,Ratio,0.01,'','',,,Consequential,''
