id,reference_id,p58_fragility,component_id,comp_detail,material,size_class,comp_description
fra1001,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 6 inches, 40 psi"
fra1002,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 4 inches, 40 psi"
fra1003,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 2 inches, 40 psi"
fra1004,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 1 inches, 40 psi"
fra1005,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 3/4 inches, 40 psi"
fra1006,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- CPVC with Cement Joint - Pipe size 2 inches, , 40 psi"
fra1007,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- CPVC with Cement Joint - Pipe size 1 inches, , 40 psi"
fra1008,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- CPVC with Cement Joint - Pipe size 3/4 inches, 40 psi"
fra1009,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Schedule 40 Steel with Groove Fit Connections - Pipe size 4 inches,40 psi"
fra1010,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Schedule 40 Steel with Groove Fit Connections - Pipe size 2 inches, 40 psi"
fra1011,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Schedule 10 Steel with Groove Fit Connections - Pipe size 4 inches, 40 psi"
fra1012,TIA-2012-EXP,'',D4011.C,'','','',"Component level- Tee joint- Schedule 10 Steel with Groove Fit Connections - Pipe size 2 inches, 40 psi"
